ID	宏名	中文说明
0	BRENDAN_NORMAL	小悠普通
1	BRENDAN_MACH_BIKE	小悠音速自行车
2	BRENDAN_SURFING	小悠冲浪
3	BRENDAN_FIELD_MOVE	小悠使用秘传招式
4	QUINTY_PLUMP	胖女孩 / Quinty
5	NINJA_BOY	忍者小子
6	TWIN	双胞胎
7	BOY_1	男孩 1
8	GIRL_1	女孩 1
9	BOY_2	男孩 2
10	GIRL_2	女孩 2
11	LITTLE_BOY	小男孩
12	LITTLE_GIRL	小女孩
13	BOY_3	男孩 3
14	GIRL_3	女孩 3
15	RICH_BOY	富家少爷
16	WOMAN_1	女性 1
17	FAT_MAN	胖男人
18	POKEFAN_F	宝可梦迷女
19	MAN_1	男性 1
20	WOMAN_2	女性 2
21	EXPERT_M	达人男
22	EXPERT_F	达人女
23	MAN_2	男性 2
24	WOMAN_3	女性 3
25	POKEFAN_M	宝可梦迷男
26	WOMAN_4	女性 4
27	COOK	厨师
28	LINK_RECEPTIONIST	通信接待员
29	OLD_MAN	老爷爷
30	OLD_WOMAN	老奶奶
31	CAMPER	露营少年
32	PICNICKER	野餐少女
33	MAN_3	男性 3
34	WOMAN_5	女性 5
35	YOUNGSTER	短裤小子
36	BUG_CATCHER	捕虫少年
37	PSYCHIC_M	超能力者男
38	SCHOOL_KID_M	学生男
39	MANIAC	怪兽狂 / 狂热者
40	HEX_MANIAC	灵异迷
41	RAYQUAZA_STILL	静止烈空坐
42	SWIMMER_M	游泳男
43	SWIMMER_F	游泳女
44	BLACK_BELT	空手道王
45	BEAUTY	大姐姐 / 美女
46	SCIENTIST_1	科学家 1
47	LASS	迷你裙
48	GENTLEMAN	绅士
49	SAILOR	水手
50	FISHERMAN	钓鱼人
51	RUNNING_TRIATHLETE_M	跑步铁人三项男
52	RUNNING_TRIATHLETE_F	跑步铁人三项女
53	TUBER_F	泳圈女孩
54	TUBER_M	泳圈男孩
55	HIKER	登山男
56	CYCLING_TRIATHLETE_M	骑车铁人三项男
57	CYCLING_TRIATHLETE_F	骑车铁人三项女
58	NURSE	护士
59	ITEM_BALL	精灵球道具
60	BERRY_TREE	树果树
61	BERRY_TREE_EARLY_STAGES	树果树早期阶段
62	BERRY_TREE_LATE_STAGES	树果树后期阶段
63	BRENDAN_ACRO_BIKE	小悠越野自行车
64	PROF_BIRCH	小田卷博士
65	MAN_4	男性 4
66	MAN_5	男性 5
67	REPORTER_M	记者男
68	REPORTER_F	记者女
69	BARD	吟游诗人
70	ANABEL	莉拉
71	TUCKER	希尔斯
72	GRETA	黄瓜香
73	SPENSER	宇康
74	NOLAND	达拉
75	LUCY	小蓟
76	UNUSED_NATU_DOLL	未使用天然雀玩偶
77	UNUSED_MAGNEMITE_DOLL	未使用小磁怪玩偶
78	UNUSED_SQUIRTLE_DOLL	未使用杰尼龟玩偶
79	UNUSED_WOOPER_DOLL	未使用乌波玩偶
80	UNUSED_PIKACHU_DOLL	未使用皮卡丘玩偶
81	UNUSED_PORYGON2_DOLL	未使用多边兽Ⅱ玩偶
82	CUTTABLE_TREE	可砍树
83	MART_EMPLOYEE	商店店员
84	ROOFTOP_SALE_WOMAN	屋顶特卖女士
85	TEALA	Teala / NPC 名
86	BREAKABLE_ROCK	可碎岩石
87	PUSHABLE_BOULDER	可推动巨石
88	MR_BRINEYS_BOAT	哈奇老人的船
89	MAY_NORMAL	小遥普通
90	MAY_MACH_BIKE	小遥音速自行车
91	MAY_ACRO_BIKE	小遥越野自行车
92	MAY_SURFING	小遥冲浪
93	MAY_FIELD_MOVE	小遥使用秘传招式
94	TRUCK	搬家卡车
95	VIGOROTH_CARRYING_BOX	搬箱子的过动猿
96	VIGOROTH_FACING_AWAY	背对的过动猿
97	BIRCHS_BAG	小田卷博士的包
98	ZIGZAGOON_1	蛇纹熊 1
99	ARTIST	艺术家
100	RIVAL_BRENDAN_NORMAL	对手小悠普通
101	RIVAL_BRENDAN_MACH_BIKE	对手小悠音速自行车
102	RIVAL_BRENDAN_ACRO_BIKE	对手小悠越野自行车
103	RIVAL_BRENDAN_SURFING	对手小悠冲浪
104	RIVAL_BRENDAN_FIELD_MOVE	对手小悠使用秘传招式
105	RIVAL_MAY_NORMAL	对手小遥普通
106	RIVAL_MAY_MACH_BIKE	对手小遥音速自行车
107	RIVAL_MAY_ACRO_BIKE	对手小遥越野自行车
108	RIVAL_MAY_SURFING	对手小遥冲浪
109	RIVAL_MAY_FIELD_MOVE	对手小遥使用秘传招式
110	CAMERAMAN	摄影师
111	BRENDAN_UNDERWATER	小悠水下
112	MAY_UNDERWATER	小遥水下
113	MOVING_BOX	搬家箱子
114	CABLE_CAR	缆车
115	SCIENTIST_2	科学家 2
116	DEVON_EMPLOYEE	得文员工
117	AQUA_MEMBER_M	水舰队男成员
118	AQUA_MEMBER_F	水舰队女成员
119	MAGMA_MEMBER_M	熔岩队男成员
120	MAGMA_MEMBER_F	熔岩队女成员
121	SIDNEY	花月
122	PHOEBE	芙蓉
123	GLACIA	波妮
124	DRAKE	源治
125	ROXANNE	杜鹃
126	BRAWLY	藤树
127	WATTSON	铁旋
128	FLANNERY	亚莎
129	NORMAN	千里
130	WINONA	娜琪
131	LIZA	枫
132	TATE	南
133	WALLACE	米可利
134	STEVEN	大吾
135	WALLY	满充
136	LITTLE_BOY_3	小男孩 3
137	BRENDAN_FISHING	小悠钓鱼
138	MAY_FISHING	小遥钓鱼
139	HOT_SPRINGS_OLD_WOMAN	温泉老奶奶
140	SS_TIDAL	破浪号
141	SUBMARINE_SHADOW	潜水艇影子
142	PICHU_DOLL	皮丘玩偶
143	PIKACHU_DOLL	皮卡丘玩偶
144	MARILL_DOLL	玛力露玩偶
145	TOGEPI_DOLL	波克比玩偶
146	CYNDAQUIL_DOLL	火球鼠玩偶
147	CHIKORITA_DOLL	菊草叶玩偶
148	TOTODILE_DOLL	小锯鳄玩偶
149	JIGGLYPUFF_DOLL	胖丁玩偶
150	MEOWTH_DOLL	喵喵玩偶
151	CLEFAIRY_DOLL	皮皮玩偶
152	DITTO_DOLL	百变怪玩偶
153	SMOOCHUM_DOLL	迷唇娃玩偶
154	TREECKO_DOLL	木守宫玩偶
155	TORCHIC_DOLL	火稚鸡玩偶
156	MUDKIP_DOLL	水跃鱼玩偶
157	DUSKULL_DOLL	夜巡灵玩偶
158	WYNAUT_DOLL	小果然玩偶
159	BALTOY_DOLL	天秤偶玩偶
160	KECLEON_DOLL	变隐龙玩偶
161	AZURILL_DOLL	露力丽玩偶
162	SKITTY_DOLL	向尾喵玩偶
163	SWABLU_DOLL	青绵鸟玩偶
164	GULPIN_DOLL	溶食兽玩偶
165	LOTAD_DOLL	莲叶童子玩偶
166	SEEDOT_DOLL	橡实果玩偶
167	PIKA_CUSHION	皮卡丘靠垫
168	ROUND_CUSHION	圆形靠垫
